login_id,user_id,timestamp,device_id,ip_address,location,os,browser,login_success,login_type,suspicious_flag,user_agent
1abc8b98-0166-47ac-aaea-dfd6d1566719,U1006,21/03/2025 09:33,D13,31.120.181.136,"Port Dianeview, Chile",macOS,Opera,FALSE,OTP,1,Mozilla/5.0 (compatible; Unknown/1.0)
26d72020-fb26-4497-b8ec-8a7fea0d2e33,U1095,19/03/2025 08:32,D13,73.206.167.199,"New Jason, Solomon Islands",Linux,Edge,TRUE,password,0,Mozilla/5.0 (compatible; Unknown/1.0)
8cfe3ccc-d0d5-4f89-a2ad-ee9383eabd20,U1011,29/03/2025 12:22,D31,188.176.225.154,"Jenniferfurt, Norfolk Island",iOS,Edge,TRUE,password,0,Mozilla/5.0 (compatible; Unknown/1.0)
cf741dc4-1a31-4d54-9d18-fdaa43c47ddf,U1010,19/03/2025 20:18,D42,58.241.216.159,"Nicholeshire, Honduras",Linux,Opera,TRUE,OTP,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/85.0.4341.72"
2d52a1ed-3b1a-408e-b4ef-64a46716767a,U1031,16/03/2025 09:55,D27,60.6.66.252,"New Matthewbury, Antarctica (the territory South of 60 deg S)",Linux,Firefox,TRUE,OTP,1,Mozilla/5.0 (compatible; Unknown/1.0)
92f20d1c-f59d-423b-aace-3f54d98e4732,U1016,29/03/2025 02:13,D6,21.166.20.236,"East Sheryl, Montenegro",Linux,Chrome,FALSE,password,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
533a7110-1b3b-48d0-b275-a041fa870d56,U1012,11/03/2025 15:13,D11,75.136.78.103,"Garrettberg, Egypt",macOS,Firefox,FALSE,OTP,0,Mozilla/5.0 (compatible; Unknown/1.0)
62ff470c-5bbf-4e85-9718-2059e3b3cdbc,U1006,17/03/2025 11:29,D18,73.177.241.133,"Jillianview, Gibraltar",macOS,Opera,FALSE,password,0,Mozilla/5.0 (compatible; Unknown/1.0)
76f31298-a0a0-4b79-9bd0-f5d09df56eb0,U1060,17/03/2025 22:49,D5,187.85.214.67,"South Juliefort, Ireland",macOS,Safari,FALSE,biometric,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
3304f1ee-83cd-4c80-baa2-79ef032cd0f1,U1003,09/04/2025 23:57,D33,56.100.36.62,"West Kevinstad, Comoros",Linux,Firefox,TRUE,password,0,Mozilla/5.0 (compatible; Unknown/1.0)
c4fae2a5-8f36-40c2-9059-261d3d047601,U1080,01/04/2025 13:15,D38,139.210.38.148,"South Allison, Brazil",Windows,Safari,FALSE,biometric,0,Mozilla/5.0 (compatible; Unknown/1.0)
dd3db3c2-26ad-416e-9030-4a18c3cbefaa,U1024,16/03/2025 13:27,D45,89.153.55.4,"Ashleyville, Greenland",Android,Firefox,FALSE,password,0,Mozilla/5.0 (compatible; Unknown/1.0)
ba80784d-d330-4342-8eba-23ac7991060e,U1089,12/03/2025 16:36,D47,26.171.90.96,"Kirkburgh, Angola",iOS,Safari,TRUE,OTP,1,Mozilla/5.0 (compatible; Unknown/1.0)
